"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.082499955E-2,7.724615534E-1,6.562131321E-1,2.510847026E-1,1.044201156E0
3.079499956E-2,8.267749509E-1,6.523966545E-1,-1.398121887E-1,1.062415014E0
4.076399934E-2,8.476672717E-1,7.284718537E-1,-2.804119974E-1,1.152320239E0
5.073399935E-2,7.807313436E-1,7.813587499E-1,-8.918933451E-2,1.108159584E0
6.070300005E-2,7.623554452E-1,7.044532460E-1,8.545004010E-2,1.041509438E0
7.067300007E-2,7.736616214E-1,5.551597971E-1,1.476889729E-1,9.636216775E-1
8.064300008E-2,7.740598167E-1,4.490673316E-1,1.696733344E-1,9.108342926E-1
9.061199985E-2,4.659760905E-1,3.862781757E-1,2.114692318E-1,6.411425598E-1
1.005819999E-1,1.430628021E-1,3.402752066E-1,6.192084432E-2,3.742838128E-1
1.105515826E-1,2.411059175E-1,3.792422211E-1,-1.694388610E-1,4.802772671E-1
1.205215827E-1,4.935212636E-1,4.896054929E-1,-2.291652453E-1,7.319791568E-1
1.304905834E-1,6.927695590E-1,5.165067780E-1,-2.267386508E-1,8.933752455E-1
1.404605834E-1,8.001807909E-1,3.914465296E-1,-2.776667297E-1,9.330693953E-1
1.504305834E-1,7.985374309E-1,2.734543955E-1,-3.918149042E-1,9.305687799E-1
1.603995832E-1,7.485637638E-1,2.081807578E-1,-4.485907835E-1,8.971736885E-1
1.703695832E-1,7.581497622E-1,1.681694305E-1,-4.227098376E-1,8.841694555E-1
1.803385830E-1,7.228289983E-1,5.648117959E-2,-3.135136700E-1,7.899131001E-1
1.903085830E-1,6.374736831E-1,-4.906924903E-2,-2.723171121E-1,6.949367578E-1
2.002775827E-1,5.725827456E-1,-9.269474030E-2,-3.115653777E-1,6.584195471E-1
2.102475828E-1,5.413185240E-1,-1.229318619E-1,-4.460612780E-1,7.121156162E-1
