"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.589008331E-3,6.501645350E1,2.551737205E1,2.058746347E1,3.805525051E1,NaN,NaN,1.140991250E-3,8.023008018E0,5.374719907E0,-1.000000000E0
5.084800720E-2,6.501644324E1,2.551737173E1,1.696186756E1,3.442965107E1,NaN,NaN,1.389562775E-2,2.451686800E1,3.000066123E1,-1.000000000E0
4.220579863E-1,6.501633495E1,2.551728217E1,1.651650470E1,3.398424124E1,NaN,NaN,2.243867263E-2,2.291958042E1,3.000000000E1,-1.000000000E0
6.190596819E-1,6.501636035E1,2.551745385E1,2.534979248E1,4.281755707E1,5.400000215E-1,1.965234375E2,2.285519850E-2,7.639370462E0,1.200000000E1,-1.000000000E0
1.292059064E0,6.501635871E1,2.551746184E1,2.529101562E1,4.275878056E1,5.400000215E-1,1.958203125E2,2.394790216E-2,5.576560532E0,1.200000000E1,-1.000000000E0
2.292053580E0,6.501635769E1,2.551743870E1,2.312396240E1,4.059172438E1,5.400000215E-1,2.253515625E2,2.549100029E-2,3.850745122E0,8.000000000E0,-1.000000000E0
3.292047501E0,6.501636032E1,2.551740644E1,2.110284424E1,3.857060346E1,5.400000215E-1,2.003906250E2,2.602036649E-2,3.536489409E0,6.000000000E0,-1.000000000E0
4.292042136E0,6.501635798E1,2.551739663E1,2.129602051E1,3.876377782E1,6.000000238E-1,1.800000000E2,2.657608616E-2,3.535533906E0,6.000000000E0,-1.000000000E0
5.292036533E0,6.501635559E1,2.551738624E1,2.203533936E1,3.950309468E1,8.299999833E-1,1.662890625E2,2.703708377E-2,3.535533906E0,6.000000000E0,-1.000000000E0
6.292134523E0,6.501635312E1,2.551737836E1,2.174316406E1,3.921091766E1,8.299999833E-1,1.740234375E2,2.761496559E-2,3.535533906E0,6.000000000E0,-1.000000000E0
7.292133451E0,6.501634855E1,2.551737249E1,2.180694580E1,3.927469718E1,8.299999833E-1,1.828125000E2,2.839830542E-2,3.535533906E0,6.000000000E0,-1.000000000E0
8.292124867E0,6.501634205E1,2.551736603E1,2.171588135E1,3.918362979E1,1.090000033E0,1.831640625E2,2.920738997E-2,3.535533906E0,6.000000000E0,-1.000000000E0
9.292123795E0,6.501633484E1,2.551736369E1,2.121435547E1,3.868210119E1,1.139999986E0,1.754296875E2,3.001826137E-2,3.535533906E0,6.000000000E0,-1.000000000E0
1.029212570E1,6.501632755E1,2.551736377E1,2.022161865E1,3.768936190E1,1.139999986E0,1.726171875E2,3.078767567E-2,3.535533906E0,6.000000000E0,-1.000000000E0
1.129211855E1,6.501632064E1,2.551736436E1,1.988275146E1,3.735049243E1,1.110000014E0,1.740234375E2,3.158595601E-2,3.535533906E0,6.000000000E0,-1.000000000E0
1.229212189E1,6.501631347E1,2.551736335E1,1.999932861E1,3.746706702E1,1.049999952E0,1.785937500E2,3.263315178E-2,3.718762385E0,6.000000000E0,-1.000000000E0
1.329212713E1,6.501630406E1,2.551736390E1,2.030210510E1,3.776984037E1,1.049999952E0,1.785937505E2,3.294550126E-2,4.748651530E0,7.661664347E0,-1.000000000E0
1.429212284E1,6.501630136E1,2.551736204E1,1.961967289E1,3.708740703E1,7.400000095E-1,1.838671865E2,3.353342132E-2,4.748651530E0,7.906162367E0,-1.000000000E0
1.529212415E1,6.501629611E1,2.551736361E1,1.888676273E1,3.635449527E1,7.599999905E-1,1.877343730E2,3.427847027E-2,4.748651530E0,8.058728876E0,-1.000000000E0
1.629212308E1,6.501628951E1,2.551736628E1,1.897429096E1,3.644202155E1,7.599999905E-1,1.859765610E2,3.528711106E-2,4.748651530E0,7.857076226E0,-1.000000000E0
1.729211259E1,6.501628047E1,2.551736801E1,1.848839392E1,3.595612163E1,9.300000072E-1,1.891406222E2,3.623348717E-2,4.748651530E0,7.817879122E0,-1.000000000E0
1.829211223E1,6.501627224E1,2.551736285E1,1.844109550E1,3.590881983E1,1.029999971E0,1.951171823E2,3.714287431E-2,4.748651530E0,7.930997709E0,-1.000000000E0
1.929211366E1,6.501626472E1,2.551735521E1,1.849638573E1,3.596410664E1,1.059999943E0,2.021484298E2,3.811223432E-2,4.748651530E0,7.617161140E0,-1.000000000E0
2.029210699E1,6.501625622E1,2.551735071E1,1.908287827E1,3.655059577E1,1.070000052E0,2.000390555E2,3.913269097E-2,4.748651530E0,7.393489632E0,-1.000000000E0
2.129210162E1,6.501624764E1,2.551734297E1,1.849932305E1,3.596703676E1,1.070000052E0,1.972265564E2,4.049356068E-2,4.748651530E0,7.601002329E0,-1.000000000E0
2.229209614E1,6.501623685E1,2.551732931E1,1.821849459E1,3.568620308E1,1.190000057E0,1.972265557E2,4.189384747E-2,4.748651530E0,7.501249475E0,-1.000000000E0
2.329209054E1,6.501622524E1,2.551731774E1,1.776670665E1,3.523440988E1,1.220000029E0,1.958203061E2,4.309268152E-2,4.748651530E0,7.920492909E0,-1.000000000E0
2.429208541E1,6.501621458E1,2.551731391E1,1.706950777E1,3.453720694E1,1.179999948E0,1.901953085E2,4.420796965E-2,4.748651530E0,7.639572732E0,-1.000000000E0
2.529207957E1,6.501620455E1,2.551731424E1,1.743645495E1,3.490415075E1,1.179999948E0,1.842187483E2,4.521300642E-2,4.748651530E0,7.171076088E0,-1.000000000E0
2.629207516E1,6.501619624E1,2.551732263E1,1.679700485E1,3.426469877E1,1.029999971E0,1.775390634E2,4.642905024E-2,4.748651530E0,8.058728876E0,-1.000000000E0
2.729206908E1,6.501618629E1,2.551733339E1,1.748573128E1,3.495342303E1,1.029999971E0,1.726171900E2,4.793688757E-2,4.748651530E0,5.372485918E0,-1.000000000E0
2.829206407E1,6.501617739E1,2.551735761E1,1.708706490E1,3.455475636E1,1.039999962E0,1.539843838E2,4.949525307E-2,4.748651530E0,5.372485918E0,-1.000000000E0
2.929205942E1,6.501616888E1,2.551738397E1,1.731853502E1,3.478622657E1,1.129999995E0,1.437890753E2,5.067284354E-2,4.748651530E0,5.372485918E0,-1.000000000E0
3.029205358E1,6.501616259E1,2.551740414E1,1.826514642E1,3.573283811E1,1.129999995E0,1.371093898E2,5.175793622E-2,4.748651530E0,5.372485918E0,-1.000000000E0
3.129204834E1,6.501615596E1,2.551742109E1,1.829543320E1,3.576312456E1,1.070000052E0,1.392187634E2,5.294028578E-2,4.748651530E0,4.029364438E0,-1.000000000E0
3.229204357E1,6.501614965E1,2.551744136E1,1.799271218E1,3.546040368E1,1.070000052E0,1.364062642E2,5.327956230E-2,4.748651530E0,4.029364438E0,-1.000000000E0
3.329203856E1,6.501615012E1,2.551744850E1,1.545450715E1,3.292219963E1,6.991958132E-1,1.294723102E2,5.420751115E-2,6.578656521E0,7.651000471E0,-1.000000000E0
3.429203331E1,6.501614360E1,2.551746083E1,1.535830931E1,3.282600096E1,7.409146489E-1,1.452153345E2,5.564547807E-2,5.431867525E0,6.206040300E0,-1.000000000E0
3.529202807E1,6.501613472E1,2.551748310E1,1.614699531E1,3.361468646E1,1.011951353E0,1.363993133E2,5.712226834E-2,4.890445704E0,5.465142056E0,-1.000000000E0
3.629202318E1,6.501612821E1,2.551751050E1,1.598588076E1,3.345357280E1,1.021920299E0,1.401237572E2,5.783985720E-2,4.785220164E0,5.341890633E0,-1.000000000E0
3.729201841E1,6.501612670E1,2.551752536E1,1.619195407E1,3.365964727E1,9.969990270E-1,1.257024108E2,5.897218791E-2,5.015325876E0,5.560093356E0,-1.000000000E0
3.829201341E1,6.501612016E1,2.551754385E1,1.651265767E1,3.398035075E1,1.034094251E0,1.364556164E2,6.032580189E-2,5.017185700E0,5.354618682E0,-1.000000000E0
3.929200864E1,6.501611517E1,2.551757014E1,1.671809805E1,3.418579240E1,1.024286957E0,1.271046454E2,6.128233580E-2,4.991068113E0,5.223699212E0,-1.000000000E0
4.029200280E1,6.501610970E1,2.551758584E1,1.698746769E1,3.445516197E1,8.540735944E-1,1.315432150E2,6.255861497E-2,5.662628688E0,5.816561581E0,-1.000000000E0
